,Folder,Product idea,Search assistant,Kanban,,,,,,,,,,,,,,,,,
,no.,Category,GPT,Gemini,Claude skill,Description,Reference,PRD,ERD,Prompt doc,Knowledge,Workflow,n8n,Synergy,Recording,Usage,Rating,Author,Status,Feedback,Last update
,0.01,營運,行政助理 ─ 搜尋助理索引,,,"Input: A user inquiry describing a task or need to be solved.

Process: Interpret the intent, match it against a structured assistant index using functional descriptions, filter to usable entries, and decide whether to recommend or ask one clarification.

Output: A concise recommendation of the most relevant assistant(s), or a clear request for clarification / inability to recommend.",,,,Link,AI 搜尋助理欄位說明,Link,Link,,Link,,,Peter Tu,Done,Link,1/21
,1.01,品牌行銷,寫作助理 ─ 靈感發想,,,"Input: The user provides an abstract philosophical question and answers assistant's prompts.

Process: Use single-step Socratic questions, give a score and brief comment, add a short parable if shallow, and guide through ~5 rounds toward clarity.

Output: A score, commentary, optional parable, and the next, more focused philosophical question.",,,,Link,,Link,Link,1.01 → 1.02 → 1.03 → 1.04 → 1.05 → 1.06,Link,,,Peter Tu,Done,Link,8/13
,1.02,品牌行銷,寫作助理 ─ 文章風格導航員,,,"Input: User gives article draft (topic + core ideas); templates and style guide are preloaded.

Process: Multi-turn - propose 3 outlines, 3 key points per section, then write paragraphs stepwise with user review, following the style guide.

Output: Clear outline, section bullet lists, and a 1000–1200-word article drafted in the user’s style.",,,,Link,"文章模板
風格指南",Link,Link,1.01 → 1.02 → 1.03 → 1.04 → 1.05 → 1.06,Link,,,Peter Tu,Done,Link,8/13
,1.03,品牌行銷,寫作助理 ─ 編輯助手,,,"Input: User provides an article draft; a Style Guide exists in the knowledge base.

Process: Check presence of article, verify relevance to Style Guide, then list edit suggestions: original text, proposed revision, and reason. Ensure mobile-friendly style, avoid “不是⋯而是⋯”, and confirm choices with the user.

Output: A numbered list of edit suggestions and a question asking which to adopt.",,,,Link,編輯校稿 SOP,Link,Link,1.01 → 1.02 → 1.03 → 1.04 → 1.05 → 1.06,Link,,,Peter Tu,Done,Link,8/13
,1.04,品牌行銷,寫作助理 ─ 讀者審稿,,,"Input: User provides an article for critique; limited Memory (SEO + style prefs) may be used.

Process: Evaluate structure, persuasiveness, SEO, and readability; analyze flaws from a third-person, oppositional stance; give scores with reasons; list SEO keywords using allowed Memory; provide directional improvements without rewriting.

Output: Fixed-format: scoring table, opponent-style critique, SEO keyword list with rationale, and non-rewriting improvement suggestions.",,,,Link,,Link,Link,1.01 → 1.02 → 1.03 → 1.04 → 1.05 → 1.06,Link,,,Peter Tu,Done,Link,8/13
,1.05,品牌行銷,寫作助理 ─ 標題小幫手,,,"Input: User provides an article, topic, or file; limited Memory (SEO + style preferences) may be referenced.

Process: Generate either 10 SEO titles or a full SEO strategy. Use Taiwan search habits, five MECE topic categories, keyword groups, outlines, and optimization advice. Never invent memory or rewrite user content.

Output: SEO titles with reasons and MECE classification, or a complete SEO strategy with keywords, outline, and recommendations.",,,,Link,SEO 清單,Link,Link,1.01 → 1.02 → 1.03 → 1.04 → 1.05 → 1.06,Link,,,Peter Tu,Done,Link,8/13
,1.06,品牌行銷,寫作助理 ─ 客製化行動呼籲,,,"Input: An article draft provided by the author.

Process: Analyze the article’s theme, audience, and conversion goal, then match it to approved CTA categories and templates defined in Zynkr’s CTA handbook .

Output: Three ready-to-use CTA options with titles, copy, category, sub-goal, placement advice, and validated links.",,,,Link,行動呼籲選擇和規範,Link,Link,1.01 → 1.02 → 1.03 → 1.04 → 1.05 → 1.06,Link,,,Raina Li,Done,Link,1/5
,1.07,品牌行銷,寫作助理 ─ 內容標籤助理,,,根據文章內容選擇適合上哪些標籤,,,,Link,標籤 Taxonomy,Link,Link,,Link,,,,Not started,Link,
,1.08,品牌行銷,寫作助理 ─ 文章裂變,,,"Input: A full or partial article text, optionally with a writing or critique goal.

Process: Analyze structure and ideas, extract an outline and summary, reflect through guided questions, then synthesize refined insights.

Output: Clear outlines, summaries, virality analysis, reflective dialogue, and a new actionable outline.",,,,Link,,Link,Link,1.08 → 1.02 → 1.03 → 1.04 → 1.05 → 1.06,Link,,,Peter Tu,Done,Link,10/23
,1.09,品牌行銷,寫作助理 ─ 翻譯蒟蒻,,寫作助理 ─ 翻譯蒟蒻,"Input: User provides text in English or another language.

Process: I translate it into natural, conversational Traditional Chinese using Taiwanese expressions and tone.

Output: Fluent, localized Traditional Chinese (Taiwan) text that sounds like everyday spoken or written language.",,,,Link,,Link,Link,,Link,,,Peter Tu,Done,Link,5/2
,1.10,品牌行銷,寫作助理 ─ AI 素養文章選題,,,"Input: Unstructured user context (intent, knowledge, audience, workflow) plus two reference documents: AI rules (K1) and role distribution (K2).

Process: Validate context → select target role → generate role-specific workplace problems using a strict 3-stage IPO pipeline.

Output: Clear validation result, ranked role options, and 3 realistic workplace problems for AI learning use cases.",,,,Link,"選題助理規則
客群分佈",Link,Link,1.10 → 1.11,Link,,,Peter Tu,Done,Link,10/24
,1.11,品牌行銷,寫作助理 ─ AI 素養文章撰寫,,,"Input: A prepared context packet describing audience, pain point, constraints, and desired outcome.

Process: Diagnose intent and cognition, reframe the problem, then craft a first-person, action-driven article using a pattern-break → reframe → copy-paste approach.

Output: A ready-to-publish AI productivity article with immediate, reusable prompts.",,,,Link,"GUIDE 指南 文章架構模板
內文風格",Link,Link,1.10 → 1.11,Link,,,Bicky Yang,Done,Link,12/30
,1.12,品牌行銷,品牌行銷助理 ─ 設計品牌行銷故事線,,,幫忙順品牌行銷的故事線和檢查邏輯,,,,Link,,Link,Link,,Link,,,,Not started,Link,
,1.13,品牌行銷,品牌行銷助理 ─ 分頁設定,,,根據基底內容分頁品牌行銷,,,,Link,,Link,Link,,Link,,,,Not started,Link,
,1.14,品牌行銷,品牌行銷助理 ─ 品牌行銷視覺呈現選擇,,,根據內容和分頁規格選擇視覺呈現,,,,Link,,Link,Link,,Link,,,,Not started,Link,
,2.01,人才發展,履歷客製化 ─ 分析職缺,,,"Input: Job description or application link (or minimal role/company details).

Process: Decode hiring intent, role context, priorities, success metrics, and ATS filters using structured analysis (MECE, 80/20).

Output: Clear role summary, prioritized skills, success KPIs, and ATS-ready keywords for CV tailoring and interview prep.",,,,Link,,Link,Link,2.01 → 2.02 → 2.03 → 2.04 → 2.05,Link,,,Peter Tu,Done,Link,6/5
,2.02,人才發展,履歷客製化 ─ 找到價值主張,,,"Input: User’s CV, target job requirements, and past experience descriptions

Process: Identify skill gaps, guide structured SCQA storytelling, probe for clarity, and refine impact-focused narratives

Output: Clear, job-aligned skill stories ready for CV bullets, interviews, or fit assessment",,,,Link,,Link,Link,2.01 → 2.02 → 2.03 → 2.04 → 2.05,Link,,,Peter Tu,Done,Link,9/28
